cipcode,label,cip_level,CIPFamily,CIPDefinition
12.0503,Culinary Arts/Chef Training,6,12,"A program that prepares individuals to provide professional chef and related cooking services in restaurants and other commercial food establishments.  Includes instruction in recipe and menu planning, preparing and cooking of foods, supervising and training kitchen assistants, the management of food supplies and kitchen resources, aesthetics of food presentation, and familiarity or mastery of a wide variety of cuisines and culinary techniques."
12.0504,"Restaurant, Culinary, and Catering Management/Manager",6,12,"A program that prepares individuals to plan, supervise, and manage food and beverage preparation and service operations, restaurant facilities, and catering services.  Includes instruction in food/beverage industry operations, cost control, purchasing and storage, business administration, logistics, personnel management, culinary arts, restaurant and menu planning, executive chef functions, event planning and management, health and safety, insurance, and applicable law and regulations."
12.0505,Food Preparation/Professional Cooking/Kitchen Assistant,6,12,"A program that prepares individuals to serve under the supervision of chefs and other food service professionals as kitchen support staff and commercial food preparation workers.  Includes instruction in kitchen organization and operations, sanitation and quality control, basic food preparation and cooking skills, kitchen and kitchen equipment maintenance, and quantity food measurement and monitoring."
12.0506,Meat Cutting/Meat Cutter,6,12,"A program that prepares individuals to receive, cut, and package animal meat products in commercial establishments and to function as licensed meat cutters/butchers.  Includes instruction in product recognition for beef, veal, lamb, pork, poultry, and fancy and smoked meats; retail and wholesale cutting and specialty cuts; packaging and counter display; shop safety; meat sanitation, storage and rotation; quality control; meat handling laws and regulations; and customer service."
12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager",6,12,"A program that prepares individuals to serve food to customers in formal or informal settings.  Includes instruction in the nutritional, sensory, and functional properties of food and its ingredients; food services principles; table and counter services; dining room operations and procedures; service personnel supervision and management; communication skills; business math; safety; and sanitation."
12.0508,Institutional Food Workers,6,12,"A program that prepares individuals in production and service used in governmental, commercial or independently owned institutional food establishments and related food industry occupations. Includes instruction in selecting, storing, preparing, and serving food and food products; basic nutrition; sanitation, and food safety; the use and care of commercial equipment; serving techniques; and the operation of institutional food establishments."
12.0509,Culinary Science/Culinology,6,12,"A program that focuses on the blending of food science and the culinary arts and that prepares individuals to work as research chefs and related research and development positions in the food industry. Includes instruction in culinary arts, food chemistry, food safety and quality, food processing, nutrition, and business management."
12.0510,Wine Steward/Sommelier,6,12,"A program that prepares individuals to manage wine selection, purchasing, storage, sales, and service for a variety of establishments in the hospitality industry. Includes instruction in wine production, wine regions of the world, wine tasting, food and wine matching, service techniques, and wine program management."
12.0599,"Culinary Arts and Related Services, Other",6,12,Any instructional program in culinary arts and related services not listed above.
12.9999,"Personal and Culinary Services, Other",6,12,Any instructional program in personal and culinary services not listed above.
13.0101,"Education, General",6,13,"A program that focuses on the general theory and practice of learning and teaching, the basic principles of educational psychology, the art of teaching, the planning and administration of educational activities, school safety and health issues, and the social foundations of education."
13.0201,Bilingual and Multilingual Education,6,13,"A program that focuses on the design and provision of teaching and other educational services to bilingual/bicultural children or adults, and/or the design and implementation of educational programs having the goal of producing bilingual/bicultural individuals.  Includes preparation to serve as teachers and administrators in bilingual/bicultural education programs."
13.0202,Multicultural Education,6,13,"A program that focuses on the design, and implementation of instructional and advising services for culturally diverse learning populations.  Includes instruction in cultural diversity, at-risk populations, multilingual and ESL education, program and curriculum design, instructional technology, information resources, LEP and minority education strategies, counseling and communicating with multicultural populations, law and regulations, and applications to specific cultural groups, educational services, and research issues."
13.0203,Indian/Native American Education,6,13,"A program that focuses on the design and implementation of instructional and advising services for American Indian, Alaska Native, and Hawaiian Native students at various learning levels and that prepares individuals to perform teaching and administrative functions in Tribal/First Nation schools.  Includes instruction in the cultural traditions and social patterns, history and politics, learning styles and issues, curriculum design, LEP and minority education strategies, counseling techniques and social issues, rural education services, distance education, adult education techniques, school administration, applicable laws and regulations, and research issues."
13.0299,"Bilingual, Multilingual, and Multicultural Education, Other",6,13,"Any instructional program in bilingual, multilingual, and multicultural Education not listed above."
13.0301,Curriculum and Instruction,6,13,"A program that focuses on the curriculum and related instructional processes and tools, and that may prepare individuals to serve as professional curriculum specialists.  Includes instruction in curriculum theory, curriculum design and planning, instructional material design and evaluation, curriculum evaluation, and applications to specific subject matter, programs or educational levels."
13.0401,"Educational Leadership and Administration, General",6,13,"A  program that focuses on the general principles and techniques of administering a wide variety of schools and other educational organizations and facilities, supervising educational personnel at the school or staff level, and that may prepare individuals as general administrators and supervisors."
13.0402,Administration of Special Education,6,13,"A program that prepares individuals to plan, supervise, and manage programs for exceptional students and their parents.  Includes instruction in special education theory and practice, special education program development, evaluation and assessment in special education, state and federal law and regulations, managing individual education plans, problems of low- and high- disability students, mainstreaming, special education curricula, staff management, parent education, communications and community relations, budgeting, and professional standards and ethics."
13.0403,Adult and Continuing Education Administration,6,13,"A program  that focuses on the principles and techniques of administering programs and facilities designed to serve the basic education needs of undereducated adults, or the continuing education needs of adults seeking further or specialized instruction, and that prepares individuals to serve as administrators of such programs.  Includes instruction in adult education principles, program and facilities planning, personnel management, community and client relations, budgeting and administration, professional standards, and applicable laws and policies."
13.0404,"Educational, Instructional, and Curriculum Supervision",6,13,"A program that prepares individuals to supervise instructional and support personnel at the school building, facility or staff level.  Includes instruction in the principles of staffing and organization, the supervision of learning activities, personnel relations, administrative duties related to departmental or unit management, and specific applications to various educational settings and curricula."
13.0406,Higher Education/Higher Education Administration,6,13,"A program that focuses on the principles and practice of administration in four-year colleges, universities and higher education systems, the study of higher education as an object of applied research, and which may prepare individuals to function as administrators in such settings.  Includes instruction in higher education economics and finance; policy and planning studies; curriculum; faculty and labor relations; higher education law; college student services; research on higher education; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy."
13.0407,Community College Education,6,13,"A program that focuses on the principles and techniques of administering community and junior colleges and related postsecondary systems, the study of community and junior colleges as objects of applied research, and that may prepare individuals to function as administrators in such settings.  Includes instruction in community and junior college finance; policy and planning studies; curriculum; faculty and labor relations; higher education law; student services; research on community and junior colleges; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy."
13.0408,Elementary and Middle School Administration/Principalship,6,13,"A program that focuses on educational administration at the elementary and middle school (K-7) levels, and prepares individuals to serve as principals and masters of elementary and middle schools.  Includes instruction in elementary and/or middle school education, program and facilities planning, budgeting and administration, public relations, human resources management, childhood and pre-adolescent growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics."
13.0409,Secondary School Administration/Principalship,6,13,"A program that focuses on educational administration at the junior high, secondary, or senior high school (7-12) levels, and prepares individuals to serve as principals and masters of secondary schools.  Includes instruction in secondary school education, program and facilities planning, budgeting and administration, public relations, human resources management, adolescent growth and development, counseling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics."
13.0410,Urban Education and Leadership,6,13,"A program that focuses on issues and problems specific to the educational needs of populations and communities located in metropolitan, inner city, and related areas and prepares individuals to provide educational services and administrative leadership in urban contexts.  Includes instruction in multicultural education, at-risk studies, urban sociology, multilingual education, urban studies and planning, human services, health services and nutrition, cross-cultural communication, diversity studies, safety and security, and urban educational administration and leadership."
13.0411,Superintendency and Educational System Administration,6,13,"A program that focuses on leading and managing multi-school educational systems and school districts, and prepares individuals to serve as systems administrators and district superintendents.  Includes instruction in educational administration; education of students at various levels; system planning and budgeting; educational policy; educational law and regulations; public relations; professional standards and ethics; and applications to specific issues, cultural context, and geographic locales."
13.0499,"Educational Administration and Supervision, Other",6,13,Any instructional program in education administration and supervision not listed above.
13.0501,Educational/Instructional Technology,6,13,"A program that focuses on integrating technology into educational curricula. Includes instruction in foundations of educational technology, computer applications, utilizing technology for assessment, multimedia instruction, web-based instruction, distance education, and designing and producing educational software and materials."
13.0601,Educational Evaluation and Research,6,13,"A program that focuses on the principles and procedures for generating information about educational programs, personnel and methods, and the analysis of such information for planning purposes.  Includes instruction in evaluation theory, evaluation research design and planning, administering evaluations and related data collection activities, data reporting requirements, data analysis and interpretation, and related economic and policy issues."
13.0603,Educational Statistics and Research Methods,6,13,"A program that focuses on the application of statistics to the analysis and solution of educational research problems, and the development of technical designs for research studies.  Includes instruction in mathematical statistics, research design, computer applications, instrument design, research methodologies, and applications to research problems in specific education subjects."
13.0604,"Educational Assessment, Testing, and Measurement",6,13,"A program that focuses on the principles and procedures for designing, developing, implementing and evaluating tests and other mechanisms used to measure learning, evaluate student progress, and assess the performance of specific teaching tools, strategies and curricula.  Includes instruction in psychometric measurement, instrument design, test implementation techniques, research evaluation, data reporting requirements, and data analysis and interpretation."
13.0607,Learning Sciences,6,13,"A program that focuses on the multiple aspects of learning in different environments, including specific aspects of the content to be mastered, cognitive aspects of the student, the instructional environment and materials, the preparation and activities of the instructor, socio-cultural and linguistic components, and assessment outcomes. Includes instruction in the social, organizational, and cultural dynamics of learning; learning and cognition; learning strategies; educational psychology; educational testing and measurement; instructional design and technology; and statistical design of educational research."
13.0699,"Educational Assessment, Evaluation, and Research, Other",6,13,"Any instructional program in educational evaluation, research and statistics not listed above."
13.0701,International and Comparative Education,6,13,"A program that focuses on the educational phenomena, practices and institutions within different societies and states in comparative perspective, and the study of international educational issues. Includes instruction in comparative research methods, country- or area-specific studies, crossnational studies of learning and teaching styles, international educational policy and development, and analyses of educational migration patterns and experiences."
13.0901,Social and Philosophical Foundations of Education,6,13,"A program that focuses on the systematic study of education as a social and cultural institution, and the educational process as an object of humanistic inquiry.  Includes instruction in such subjects as the philosophy of education, history of education, educational literature, educational anthropology, sociology of education, economics and politics of education, educational policy studies, and studies of education in relation to specific populations, issues, social phenomena, and types of work."
13.1001,"Special Education and Teaching, General",6,13,"A general program that focuses on the design and provision of teaching and other educational services to children or adults with special learning needs or disabilities, and that may prepare individuals to function as special education teachers.  Includes instruction in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counseling, and applicable laws and policies."
13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness,6,13,"A program that focuses on the design of educational services for children or adults with hearing impairments including deafness which adversely affect their educational performance, and that may prepare individuals to teach such students.  Includes instruction in identifying students with hearing impairments, including deafness, developing individual education plans, teaching and supervising hearing-impaired students, counseling, and applicable laws and policies."
13.1004,Education/Teaching of the Gifted and Talented,6,13,"A program that focuses on the design of educational services for children or adults exhibiting exceptional intellectual, psychomotor or artistic talent or potential, or who exhibit exceptional maturity or social leadership talents, and that may prepare individuals to teach such students.  Includes instruction in identifying gifted and talented students, developing individual education plans, teaching and supervising gifted and talented students, counseling, and applicable laws and policies."
13.1005,Education/Teaching of Individuals with Emotional Disturbances,6,13,"A program that focuses on the design of educational services for children or adults with emotional conditions which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with emotional disturbances, developing individual education plans, teaching and supervising emotionally disturbed students, counseling, and applicable laws and policies."
13.1006,Education/Teaching of Individuals with Mental Retardation,6,13,"A program that focuses on the design of educational services for children or adults with mental disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with mental retardation, developing individual education plans, teaching and supervising mentally handicapped students, counseling, and applicable laws and policies."
13.1007,Education/Teaching of Individuals with Multiple Disabilities,6,13,"A program that focuses on the design of educational services for children or adults with multiple disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with multiple disabilities, developing individual education plans, teaching and supervising students with multiple handicaps, counseling, and applicable laws and policies."
13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments,6,13,"A program that focuses on the design of educational services for children or adults with orthopedic and other health impairments which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying physically disabled students, developing individual education plans, teaching and supervising students with orthopedic and other health impairments, counseling, and applicable laws and policies."
13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness,6,13,"A program that focuses on the design of educational services for children or adults with visual disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with visual impairments, developing individual education plans, teaching and supervising blind or visually handicapped students, counseling, and applicable laws and policies."
13.1011,Education/Teaching of Individuals with Specific Learning Disabilities,6,13,"A program that focuses on the design of educational services for children or adults with specific learning disabilities which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with specific learning disabilities, developing individual education plans, teaching and supervising students with specific learning disabilities, counseling, and applicable laws and policies."
13.1012,Education/Teaching of Individuals with Speech or Language Impairments,6,13,"A program that focuses on the study and design of educational services for children or adults with speech and language impairments which adversely affect their educational performance and that may prepare individuals to teach such students.  Includes instruction in identifying students with speech and language impairments, developing individual education plans, teaching and supervising students with speech disabilities, counseling, and applicable laws and policies."
13.1013,Education/Teaching of Individuals with Autism,6,13,"A program that focuses on the design of educational services for children or adults with autism, and that prepares individuals to teach such students.  Includes instruction in identifying students with autism, developing individual education plans, teaching and supervising autistic students, counseling, and applicable laws and policies."
13.1014,Education/Teaching of Individuals Who are Developmentally Delayed,6,13,"A program that focuses on the design of educational services for children or adults who exhibit slow social, physical, cognitive, or emotional growth patterns related to age, or a combination of such factors that affect learning, and that prepares individuals to teach such students.  Includes instruction in identification of developmental delay patterns, developing individual education plans, teaching and supervising developmentally delayed students, counseling, and applicable laws and policies."
13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs,6,13,"A program that focuses on the design and provision of teaching and other educational services to infant and pre-school age children with special learning needs or disabilities, and that prepares individuals to teach such students.  Includes instruction in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counseling, and applicable laws and policies."
13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries,6,13,"A program that focuses on the design of educational services for children or adults who are surviving and recovering from brain and brain stem injuries affecting their cognitive, perceptive, and motor functions.  Includes instruction in  neurophysiology and neuropathology; speech, other sensory, and motor pathologies; emotional and cognitive disabilities; physical and occupational rehabilitation techniques; developing individual education plans, teaching and supervising brain-injured students, counseling, and applicable laws and policies."
13.1017,Education/Teaching of Individuals in Elementary Special Education Programs,6,13,"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the elementary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for elementary special education; and teaching elementary education subject matter."
13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs,6,13,"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in junior high/middle school. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for middle school special education; and principles of middle school instruction in specific subjects."
13.1019,Education/Teaching of Individuals in Secondary Special Education Programs,6,13,"A program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the secondary grades. Includes instruction in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for secondary grades special education; content, methods, and modifications in specific subject areas; issues in vocational education; and promoting successful transitions to postsecondary settings."
13.1099,"Special Education and Teaching, Other",6,13,Any instructional program in special education not listed above.
13.1101,Counselor Education/School Counseling and Guidance Services,6,13,"A program that prepares individuals to apply the theory and principles of guidance and counseling to the provision of support for the personal, social, educational, and vocational development of students, and the organizing of guidance services within elementary, middle and secondary educational institutions.  Includes instruction in legal and professional requirements, therapeutic counselor intervention, vocational counseling, and related sociological and psychological foundations."
13.1102,College Student Counseling and Personnel Services,6,13,"A program that focuses on the organization and provision of counseling, referral, assistance and administrative services to students in postsecondary educational institutions and adult education facilities, and that may prepare individuals to function as professional counselors in such settings.  Includes instruction in applicable laws and policies, residential counseling and services, vocational counseling and placement services, remedial skills counseling, and therapeutic counselor intervention."
13.1199,"Student Counseling and Personnel Services, Other",6,13,Any instructional program in student counseling and personnel services not listed above.
13.1201,Adult and Continuing Education and Teaching,6,13,"A program that prepares individuals to teach adult students in various settings, including basic and remedial education programs, continuing education programs, and programs designed to develop or upgrade specific employment-related knowledge and skills."
13.1202,Elementary Education and Teaching,6,13,"A program that prepares individuals to teach students in the elementary grades, which may include kindergarten through grade eight, depending on the school system or state regulations.  Includes preparation to teach all elementary education subject matter."
13.1203,Junior High/Intermediate/Middle School Education and Teaching,6,13,"A program that prepares individuals to teach students in the middle, intermediate or junior high grades, which may include grades four through nine by regulation."
13.1205,Secondary Education and Teaching,6,13,"A program that prepares individuals to teach students in the secondary grades, which may include grades seven through twelve, depending on the school system or state regulations.  May include preparation to teach a comprehensive curriculum or specific subject matter."
13.1206,"Teacher Education, Multiple Levels",6,13,"A program that prepares individuals to teach students at more than one educational level, such as a combined program in elementary/secondary, early childhood/elementary, elementary/middle school, or junior high/high school teacher education."
13.1207,Montessori Teacher Education,6,13,A program that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Maria Montessori and her followers.
13.1208,Waldorf/Steiner Teacher Education,6,13,A program that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Rudolf Steiner and his followers.
13.1209,Kindergarten/Preschool Education and Teaching,6,13,"A program that prepares individuals to teach students in formal settings prior to beginning regular elementary school, usually ranging in age from three to six years (or grade one), depending on the school system or state regulations.  Includes preparation to teach all relevant subject matter."
13.1210,Early Childhood Education and Teaching,6,13,"A program that prepares individuals to teach students ranging in age from infancy through eight years (grade three), depending on the school system or state regulations.  Includes preparation to teach all relevant subject matter."
13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Other",6,13,Any instructional program in teacher education and professional development not listed above.
13.1301,Agricultural Teacher Education,6,13,A program that prepares individuals to teach vocational agricultural programs at various educational levels.
13.1302,Art Teacher Education,6,13,A program that prepares individuals to teach art and art appreciation programs at various educational levels.
13.1303,Business Teacher Education,6,13,A program that prepares individuals to teach vocational business programs at various educational levels.
13.1304,Driver and Safety Teacher Education,6,13,A program that prepares individuals to teach driver and safety education programs at various educational levels.
13.1305,English/Language Arts Teacher Education,6,13,"A program that prepares individuals to teach English grammar, composition and literature programs at various educational levels."
13.1306,Foreign Language Teacher  Education,6,13,"A program that prepares individuals to teach foreign languages programs at various educational levels, other than French, German or Spanish."
13.1307,Health Teacher Education,6,13,A program that prepares individuals to teach health education programs at various educational levels.
13.1308,Family and Consumer Sciences/Home Economics Teacher Education,6,13,A program that prepares individuals to teach vocational home economics programs at various educational levels.
13.1309,Technology Teacher Education/Industrial Arts Teacher Education,6,13,A program that prepares individuals to teach technology education/industrial arts programs at various educational levels.
13.1310,Sales and Marketing Operations/Marketing and Distribution   Teacher Education,6,13,A program that prepares individuals to teach vocational sales and marketing operations/marketing and distributive education programs at various educational levels.
13.1311,Mathematics Teacher Education,6,13,A program that prepares individuals to teach mathematics programs at various educational levels.
13.1312,Music Teacher Education,6,13,A program that prepares individuals to teach music and music appreciation programs at various educational levels.
13.1314,Physical Education Teaching and Coaching,6,13,A program that prepares individuals to teach physical education programs and/or to coach sports at various educational levels.
13.1315,Reading Teacher Education,6,13,A program that prepares individuals to diagnose reading difficulties and to teach reading programs at various educational levels.
13.1316,Science Teacher Education/General Science Teacher Education,6,13,"A program that prepares individuals to teach general science programs, or a combination of the biological and physical science subject matter areas, at various educational levels."
13.1317,Social Science Teacher Education,6,13,A program that prepares individuals to teach specific social science subjects and programs at various educational levels.
13.1318,Social Studies Teacher Education,6,13,A program that prepares individuals to teach general social studies programs at various educational levels.
13.1319,Technical Teacher Education,6,13,A program that prepares individuals to teach specific vocational technical education programs at various educational levels.
13.1320,Trade and Industrial Teacher Education,6,13,A program that prepares individuals to teach specific vocational trades and industries programs at various educational levels.
13.1321,Computer Teacher Education,6,13,A program that prepares individuals to teach computer education programs at various educational levels.
13.1322,Biology Teacher Education,6,13,A program that prepares individuals to teach biology programs at various educational levels.
13.1323,Chemistry Teacher Education,6,13,A program that prepares individuals to teach chemistry programs at various educational levels.
13.1324,Drama and Dance Teacher Education,6,13,A program that prepares individuals to teach drama and/or dance programs at various educational levels.
13.1325,French Language Teacher Education,6,13,A program that prepares individuals to teach French language programs at various educational levels.
13.1326,German Language Teacher Education,6,13,A program that prepares individuals to teach German language programs at various educational levels.
13.1327,Health Occupations Teacher Education,6,13,A program that prepares individuals to teach specific vocational health occupations programs at various educational levels.
13.1328,History Teacher Education,6,13,A program that prepares individuals to teach history programs at various educational levels.
13.1329,Physics Teacher Education,6,13,A program that prepares individuals to teach physics programs at various educational levels.
13.1330,Spanish Language Teacher Education,6,13,A program that prepares individuals to teach Spanish language programs at various educational levels.
13.1331,Speech Teacher Education,6,13,A program that prepares individuals to teach speech and language arts programs at various educational levels.
13.1332,Geography Teacher Education,6,13,A program that prepares individuals to teach geography at various grade levels.
13.1333,Latin Teacher Education,6,13,A program that prepares individuals to teach Latin at various grade levels.
13.1334,School Librarian/School Library Media Specialist,6,13,A program that prepares individuals to serve as librarians and media specialists in elementary and secondary schools as well as special instructional centers.
13.1335,Psychology Teacher Education,6,13,A program that prepares individuals to teach general psychology at the secondary school level.
13.1337,Earth Science Teacher Education,6,13,A program that prepares individuals to teach earth science programs at various educational levels.
13.1338,Environmental Education,6,13,"A program that prepares individuals to teach environmental education at various educational levels as a K-12 classroom educator. Includes instruction in foundations of environmental education, instructional methods, and related content knowledge."
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other",6,13,"Any instructional program in teacher education, specific academic and vocational programs not listed above."
13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor,6,13,"A program that focuses on the principles and practice of teaching English to students who are not proficient in English or who do not speak, read or write English, and that may prepare individuals to function as teachers and administrators in such programs."
13.1402,Teaching French as a Second or Foreign Language,6,13,"A program that focuses on the principles and practice of teaching French to students who are not proficient in French or who do not speak, read, or write French, and prepares individuals to serve as teachers and administrators."
13.1499,"Teaching English or French as a Second or Foreign Language, Other",6,13,Any program in teaching English or French as a second or foreign language not listed above.
13.1501,Teacher Assistant/Aide,6,13,"A program that prepares individuals to assist a teacher in regular classroom settings or in providing instruction and supervision to special student populations, such as bilingual/bicultural students, special education students, adult learners, and students learning English.  Includes instruction in techniques of general classroom supervision, maintaining order, assisting with lessons and carrying out related assignments."
13.1502,Adult Literacy Tutor/Instructor,6,13,"A program that prepares individuals to serve as instructors and mentors for adults in basic or functional literacy programs in school, institutional, community, and private settings."
13.1599,"Teaching Assistants/Aides, Other",6,13,Any teaching assistant/aide program not listed above.
13.9999,"Education, Other",6,13,Any instructional program in education not listed above.
14.0101,"Engineering, General",6,14,"A program that generally prepares individuals to apply mathematical and scientific principles to solve a wide variety of practical problems in industry, social organization, public works, and commerce.  Includes instruction in undifferentiated and individualized programs in engineering."
14.0102,Pre-Engineering,6,14,A program that prepares individuals for admission or transfer to a baccalaureate-level program in any of the fields of engineering.
14.0201,"Aerospace, Aeronautical and Astronautical/Space Engineering",6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of aircraft, missiles, space vehicles, and their systems; applied research on flight and orbital characteristics; and the development of systems and procedures for the launching, guidance, and control of air and space vehicles."
14.0301,Agricultural Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems, equipment and facilities for production, processing, storage, handling, distribution and use of food, feed, and fiber. Includes applications to aquaculture, forestry, human and natural resources."
14.0401,Architectural Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of materials, systems, and methods used to construct and equip buildings intended for human habitation or other purposes."
14.0501,Bioengineering and Biomedical Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of biomedical and health systems and products such as integrated biomedical systems, instrumentation, medical information systems, artificial organs and prostheses, and health management and care delivery systems."
14.0601,Ceramic Sciences and Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of inorganic non-metallic materials, such as porcelains, cements, industrial ceramics, ceramic superconductors, abrasive, and related materials and systems."
14.0701,Chemical Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems employing chemical processes, such as chemical reactors, kinetic systems, electrochemical systems, energy conservation processes, heat and mass transfer systems, and separation processes; and the applied analysis of chemical problems such as corrosion, particle abrasion, energy loss, pollution, and fluid mechanics."
14.0702,Chemical and Biomolecular Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems at the interface of chemical engineering and biology, with an emphasis at the molecular level, such as biopharmaceutical processes, protein engineering, metabolic engineering, gene therapy, biomaterials, cell and tissue engineering, and drug delivery. Includes instruction in chemical engineering, thermodynamics, organic chemistry, biochemistry, momentum and heat transfer, cellular and molecular biotechnology, process design, and chemical reactor design."
14.0799,"Chemical Engineering, Other",6,14,Any instructional program in chemical engineering not listed above.
14.0801,"Civil Engineering, General",6,14,"A program that generally prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of structural, load-bearing, material moving, transportation, water resource, and material control systems; and environmental safety measures."
14.0802,Geotechnical and Geoenvironmental Engineering,6,14,"A program that prepares individuals to apply geotechnical engineering methods, which deal with the analysis, design and construction of earth and earth supported structures,  to the application of environmental problems, such as waste containment, waste disposal, construction of land fills, soil permeation, soil analysis, and soil improvement. Includes instruction in soil mechanics, soil dynamics, soil behavior, waste management and containment systems, geosynthetics, geochemistry, earth structures, geoenvironmental engineering, geotechnical engineering, earthquake engineering, and foundation engineering"
14.0803,Structural Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of materials and systems used in building load-bearing structures for various purposes and in different environments, including buildings, roads, rail lines, bridges, dams, conduits, offshore platforms and work stations, and other structural shells; and the analysis of structural problems such as, failure, fabrication, safety, and natural hazards."
14.0804,Transportation and Highway Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of total systems for the physical movement of people, materials and information, including general network design and planning, facilities planning, site evaluation, transportation management systems, needs projections and analysis, and analysis of costs."
14.0805,Water Resources Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems for collecting, storing, moving, conserving and controlling surface- and groundwater, including water quality control, water cycle management, management of human and industrial water requirements, water delivery, and flood control."
14.0899,"Civil Engineering, Other",6,14,Any instructional program in civil engineering not listed above.
14.0901,"Computer Engineering, General",6,14,"A program that generally prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of computer hardware and software systems and related equipment and facilities; and the analysis of specific problems of computer applications to various tasks."
14.0902,Computer Hardware Engineering,6,14,"A program that prepares individuals to apply mathematical and scientific principles to the design, development, and evaluation of computer hardware and related peripheral equipment.  Includes instruction in computer circuit and chip design, circuitry, computer systems design, computer equipment design, computer layout planning, testing procedures, and related computer theory and software topics."
14.0903,Computer Software Engineering,6,14,"A program that prepares individuals to apply scientific and mathematical principles to the design, analysis, verification, validation, implementation, and maintenance of computer software systems using a variety of computer languages.  Includes instruction in discrete mathematics, probability and statistics, computer science, managerial science, and applications to complex computer systems."
